app_useful_cycles,app_wasted_cycles,index,param_hs_enabled,param_hs_flags,param_jumbo_frames,param_lcores,param_n_rules,param_nb_rgx_desc,param_pattern_db,param_pkt_size,param_pktgen_latency_enabled,param_port_forward_mode,param_port_mp_size,param_port_rx_descriptors,param_port_tx_descriptors,param_rgx_enabled,param_rule_subset_ratio,param_rules_patlen_greaterthan,param_rules_use_content_kw,param_rules_use_pcre_kw,param_target_tp,port0_rx_broadcast_bytes,port0_rx_broadcast_packets,port0_rx_errors,port0_rx_good_bytes,port0_rx_good_packets,port0_rx_mbuf_allocation_errors,port0_rx_missed_errors,port0_rx_multicast_bytes,port0_rx_multicast_packets,port0_rx_out_of_buffer,port0_rx_phy_bytes,port0_rx_phy_crc_errors,port0_rx_phy_discard_packets,port0_rx_phy_in_range_len_errors,port0_rx_phy_packets,port0_rx_phy_symbol_errors,port0_rx_prio0_buf_discard_packets,port0_rx_prio0_cong_discard_packets,port0_rx_prio1_buf_discard_packets,port0_rx_prio1_cong_discard_packets,port0_rx_prio2_buf_discard_packets,port0_rx_prio2_cong_discard_packets,port0_rx_prio3_buf_discard_packets,port0_rx_prio3_cong_discard_packets,port0_rx_prio4_buf_discard_packets,port0_rx_prio4_cong_discard_packets,port0_rx_prio5_buf_discard_packets,port0_rx_prio5_cong_discard_packets,port0_rx_prio6_buf_discard_packets,port0_rx_prio6_cong_discard_packets,port0_rx_prio7_buf_discard_packets,port0_rx_prio7_cong_discard_packets,port0_rx_q0_bytes,port0_rx_q0_errors,port0_rx_q0_packets,port0_rx_q1_bytes,port0_rx_q1_errors,port0_rx_q1_packets,port0_rx_q2_bytes,port0_rx_q2_errors,port0_rx_q2_packets,port0_rx_q3_bytes,port0_rx_q3_errors,port0_rx_q3_packets,port0_rx_q4_bytes,port0_rx_q4_errors,port0_rx_q4_packets,port0_rx_q5_bytes,port0_rx_q5_errors,port0_rx_q5_packets,port0_rx_q6_bytes,port0_rx_q6_errors,port0_rx_q6_packets,port0_rx_unicast_bytes,port0_rx_unicast_packets,port0_rx_wqe_errors,port0_tx_broadcast_bytes,port0_tx_broadcast_packets,port0_tx_errors,port0_tx_good_bytes,port0_tx_good_packets,port0_tx_multicast_bytes,port0_tx_multicast_packets,port0_tx_phy_bytes,port0_tx_phy_discard_packets,port0_tx_phy_errors,port0_tx_phy_packets,port0_tx_pp_clock_queue_errors,port0_tx_pp_jitter,port0_tx_pp_missed_interrupt_errors,port0_tx_pp_rearm_queue_errors,port0_tx_pp_sync_lost,port0_tx_pp_timestamp_future_errors,port0_tx_pp_timestamp_order_errors,port0_tx_pp_timestamp_past_errors,port0_tx_pp_wander,port0_tx_q0_bytes,port0_tx_q0_packets,port0_tx_q1_bytes,port0_tx_q1_packets,port0_tx_q2_bytes,port0_tx_q2_packets,port0_tx_q3_bytes,port0_tx_q3_packets,port0_tx_q4_bytes,port0_tx_q4_packets,port0_tx_q5_bytes,port0_tx_q5_packets,port0_tx_q6_bytes,port0_tx_q6_packets,port0_tx_unicast_bytes,port0_tx_unicast_packets,rgx_bs12_deq_avg_rtt_cycles,rgx_bs12_deq_avg_rtt_us,rgx_bs12_deq_brst_cnt,rgx_bs12_deq_brst_pkts_cnt,rgx_bs12_deq_rtt_ttl_cycles,rgx_bs12_deq_rtt_ttl_us,rgx_bs12_enq_brst_cnt,rgx_bs12_enq_brst_pkts_cnt,rgx_bs12_patterns_matched,rgx_bs16_deq_avg_rtt_cycles,rgx_bs16_deq_avg_rtt_us,rgx_bs16_deq_brst_cnt,rgx_bs16_deq_brst_pkts_cnt,rgx_bs16_deq_rtt_ttl_cycles,rgx_bs16_deq_rtt_ttl_us,rgx_bs16_enq_brst_cnt,rgx_bs16_enq_brst_pkts_cnt,rgx_bs16_patterns_matched,rgx_bs20_deq_avg_rtt_cycles,rgx_bs20_deq_avg_rtt_us,rgx_bs20_deq_brst_cnt,rgx_bs20_deq_brst_pkts_cnt,rgx_bs20_deq_rtt_ttl_cycles,rgx_bs20_deq_rtt_ttl_us,rgx_bs20_enq_brst_cnt,rgx_bs20_enq_brst_pkts_cnt,rgx_bs20_patterns_matched,rgx_bs24_deq_avg_rtt_cycles,rgx_bs24_deq_avg_rtt_us,rgx_bs24_deq_brst_cnt,rgx_bs24_deq_brst_pkts_cnt,rgx_bs24_deq_rtt_ttl_cycles,rgx_bs24_deq_rtt_ttl_us,rgx_bs24_enq_brst_cnt,rgx_bs24_enq_brst_pkts_cnt,rgx_bs24_patterns_matched,rgx_bs28_deq_avg_rtt_cycles,rgx_bs28_deq_avg_rtt_us,rgx_bs28_deq_brst_cnt,rgx_bs28_deq_brst_pkts_cnt,rgx_bs28_deq_rtt_ttl_cycles,rgx_bs28_deq_rtt_ttl_us,rgx_bs28_enq_brst_cnt,rgx_bs28_enq_brst_pkts_cnt,rgx_bs28_patterns_matched,rgx_bs32_deq_avg_rtt_cycles,rgx_bs32_deq_avg_rtt_us,rgx_bs32_deq_brst_cnt,rgx_bs32_deq_brst_pkts_cnt,rgx_bs32_deq_rtt_ttl_cycles,rgx_bs32_deq_rtt_ttl_us,rgx_bs32_enq_brst_cnt,rgx_bs32_enq_brst_pkts_cnt,rgx_bs32_patterns_matched,rgx_bs36_deq_avg_rtt_cycles,rgx_bs36_deq_avg_rtt_us,rgx_bs36_deq_brst_cnt,rgx_bs36_deq_brst_pkts_cnt,rgx_bs36_deq_rtt_ttl_cycles,rgx_bs36_deq_rtt_ttl_us,rgx_bs36_enq_brst_cnt,rgx_bs36_enq_brst_pkts_cnt,rgx_bs36_patterns_matched,rgx_bs40_deq_avg_rtt_cycles,rgx_bs40_deq_avg_rtt_us,rgx_bs40_deq_brst_cnt,rgx_bs40_deq_brst_pkts_cnt,rgx_bs40_deq_rtt_ttl_cycles,rgx_bs40_deq_rtt_ttl_us,rgx_bs40_enq_brst_cnt,rgx_bs40_enq_brst_pkts_cnt,rgx_bs40_patterns_matched,rgx_bs44_deq_avg_rtt_cycles,rgx_bs44_deq_avg_rtt_us,rgx_bs44_deq_brst_cnt,rgx_bs44_deq_brst_pkts_cnt,rgx_bs44_deq_rtt_ttl_cycles,rgx_bs44_deq_rtt_ttl_us,rgx_bs44_enq_brst_cnt,rgx_bs44_enq_brst_pkts_cnt,rgx_bs44_patterns_matched,rgx_bs48_deq_avg_rtt_cycles,rgx_bs48_deq_avg_rtt_us,rgx_bs48_deq_brst_cnt,rgx_bs48_deq_brst_pkts_cnt,rgx_bs48_deq_rtt_ttl_cycles,rgx_bs48_deq_rtt_ttl_us,rgx_bs48_enq_brst_cnt,rgx_bs48_enq_brst_pkts_cnt,rgx_bs48_patterns_matched,rgx_bs4_deq_avg_rtt_cycles,rgx_bs4_deq_avg_rtt_us,rgx_bs4_deq_brst_cnt,rgx_bs4_deq_brst_pkts_cnt,rgx_bs4_deq_rtt_ttl_cycles,rgx_bs4_deq_rtt_ttl_us,rgx_bs4_enq_brst_cnt,rgx_bs4_enq_brst_pkts_cnt,rgx_bs4_patterns_matched,rgx_bs52_deq_avg_rtt_cycles,rgx_bs52_deq_avg_rtt_us,rgx_bs52_deq_brst_cnt,rgx_bs52_deq_brst_pkts_cnt,rgx_bs52_deq_rtt_ttl_cycles,rgx_bs52_deq_rtt_ttl_us,rgx_bs52_enq_brst_cnt,rgx_bs52_enq_brst_pkts_cnt,rgx_bs52_patterns_matched,rgx_bs56_deq_avg_rtt_cycles,rgx_bs56_deq_avg_rtt_us,rgx_bs56_deq_brst_cnt,rgx_bs56_deq_brst_pkts_cnt,rgx_bs56_deq_rtt_ttl_cycles,rgx_bs56_deq_rtt_ttl_us,rgx_bs56_enq_brst_cnt,rgx_bs56_enq_brst_pkts_cnt,rgx_bs56_patterns_matched,rgx_bs60_deq_avg_rtt_cycles,rgx_bs60_deq_avg_rtt_us,rgx_bs60_deq_brst_cnt,rgx_bs60_deq_brst_pkts_cnt,rgx_bs60_deq_rtt_ttl_cycles,rgx_bs60_deq_rtt_ttl_us,rgx_bs60_enq_brst_cnt,rgx_bs60_enq_brst_pkts_cnt,rgx_bs60_patterns_matched,rgx_bs64_deq_avg_rtt_cycles,rgx_bs64_deq_avg_rtt_us,rgx_bs64_deq_brst_cnt,rgx_bs64_deq_brst_pkts_cnt,rgx_bs64_deq_rtt_ttl_cycles,rgx_bs64_deq_rtt_ttl_us,rgx_bs64_enq_brst_cnt,rgx_bs64_enq_brst_pkts_cnt,rgx_bs64_patterns_matched,rgx_bs8_deq_avg_rtt_cycles,rgx_bs8_deq_avg_rtt_us,rgx_bs8_deq_brst_cnt,rgx_bs8_deq_brst_pkts_cnt,rgx_bs8_deq_rtt_ttl_cycles,rgx_bs8_deq_rtt_ttl_us,rgx_bs8_enq_brst_cnt,rgx_bs8_enq_brst_pkts_cnt,rgx_bs8_patterns_matched,tx_p0_b2b_latency_cycles_avg,tx_p0_b2b_latency_cycles_max,tx_p0_b2b_latency_cycles_min,tx_p0_b2b_latency_us_avg,tx_p0_b2b_latency_us_max,tx_p0_b2b_latency_us_min
3112915524, 186699216302, 0, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 1500, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 5, 0, 0, 0, 3983909612, 2668800, 0, 0, 0, 0, 0, 3994587724, 0, 2, 0, 2668801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 556571924, 0, 372041, 591319432, 0, 395267, 571911824, 0, 382294, 561825792, 0, 375552, 567561456, 0, 379386, 559001536, 0, 379422, 575717648, 0, 384838, 3994584724, 2668799, 0, 0, 0, 0, 3983909612, 2668800, 0, 0, 3994584852, 0, 0, 2668801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 556571924, 372041, 591319432, 395267, 571911824, 382294, 561825792, 375552, 567561456, 379386, 559001536, 379422, 575717648, 384838, 3983909528, 2668799, 708698, 286, 5043, 47828, 33895646812, 13714376, 29226, 29226, 858218, 3346137, 1359, 52, 693, 2318873102, 942298, 361, 361, 50039, 0, 0, 0, 0, 42634908, 17438, 37, 37, 726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 832168, 1801179, 0, 0, 1901469, 1901469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86757, 35, 143103, 819100, 71063342630, 28711960, 737707, 737707, 1946601, 90966, 121324, 50950, 30, 40, 16
969290022, 188386940370, 1, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 5, 336, 1, 0, 4026183124, 452704, 0, 0, 88, 1, 0, 4028038940, 0, 5, 0, 452709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 560442220, 0, 62301, 598602836, 0, 66541, 579153484, 0, 64379, 568133384, 0, 63154, 573503996, 0, 63751, 563631304, 0, 67803, 582715900, 0, 64775, 4027993516, 452702, 0, 332, 1, 0, 4026183124, 452704, 84, 1, 4027994068, 0, 0, 452706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 560442220, 62301, 598602836, 66541, 579153484, 64379, 568133384, 63154, 573503996, 63751, 563631304, 67803, 582715900, 64775, 4026182708, 452702, 0, 0, 0, 0, 9755106, 4027, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 390783, 452632, 0, 0, 452691, 452691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 608372321, 250358, 14, 72, 43802807142, 18025832, 13, 13, 551891, 367526, 431628, 200922, 122, 143, 66
3730711906, 189150122062, 2, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 1500, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 6, 0, 0, 0, 4780957748, 3201982, 0, 0, 0, 0, 0, 4793765340, 0, 0, 0, 3201981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 668167788, 0, 446637, 709575240, 0, 474315, 686239136, 0, 458716, 674360896, 0, 450776, 681054000, 0, 455250, 670697416, 0, 454481, 690863272, 0, 461807, 4793765340, 3201981, 0, 0, 0, 0, 4780767756, 3201855, 0, 0, 4793574968, 0, 0, 3201856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 668167788, 446637, 709575240, 474315, 686239136, 458716, 674360896, 450776, 680889440, 455140, 670671984, 454464, 690863272, 461807, 4780767424, 3201854, 693824, 280, 6220, 59042, 40964766766, 16578082, 37656, 37656, 1027408, 2447116, 993, 85, 1137, 2782370898, 1129851, 535, 535, 61658, 600780, 244, 6, 106, 63682734, 25942, 0, 0, 1181, 0, 0, 0, 0, 106588802, 44360, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 988701, 2159927, 0, 0, 2282527, 2282527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89748, 36, 171678, 981643, 88100880616, 35632301, 881137, 881137, 2322927, 89790, 115292, 42444, 29, 38, 14
1180153912, 187227530040, 3, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 6, 336, 1, 0, 4831018088, 543765, 0, 0, 88, 1, 0, 4833193148, 0, 0, 0, 543765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 674322584, 0, 74960, 716900236, 0, 79691, 693915456, 0, 77136, 681195112, 0, 75722, 688751752, 0, 76562, 677285596, 0, 82032, 698647352, 0, 77662, 4833192724, 543763, 0, 332, 1, 0, 4831018088, 543765, 84, 1, 4833193148, 0, 0, 543765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 674322584, 74960, 716900236, 79691, 693915456, 77136, 681195112, 75722, 688751752, 76562, 677285596, 82032, 698647352, 77662, 4831017672, 543763, 0, 0, 0, 0, 1478036, 610, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 474357, 543755, 0, 0, 543760, 543760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5288398652, 2176425, 2, 10, 52883986522, 21764251, 5, 5, 671729, 351901, 3032668, 63744, 117, 1010, 21
4350137752, 184841601546, 4, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 1500, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 7, 0, 0, 0, 5578423052, 3735305, 0, 0, 0, 0, 0, 5593363936, 0, 0, 0, 3735304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 779616796, 0, 521135, 827853488, 0, 553378, 800620304, 0, 535174, 786728448, 0, 525888, 794779920, 0, 531270, 782791264, 0, 529668, 806032832, 0, 538792, 5593363936, 3735304, 0, 0, 0, 0, 5577434196, 3734644, 0, 0, 5592372564, 0, 0, 3734645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 779616796, 521135, 827670976, 553256, 800520072, 535107, 786728448, 525888, 794564496, 531126, 782584816, 529530, 805748592, 538602, 5577433864, 3734643, 712993, 288, 6882, 65346, 46591294036, 18844630, 41349, 41349, 1187892, 3526956, 1439, 81, 1072, 3780897388, 1542840, 474, 474, 68224, 6014848, 2474, 1, 17, 102252420, 42066, 35, 35, 1151, 0, 0, 0, 0, 910528, 369, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1153577, 2530696, 0, 0, 2675200, 2675200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92740, 37, 199047, 1137513, 105493494142, 42694402, 1017586, 1017586, 2710830, 89666, 6268752, 34468, 29, 2089, 11
1368893660, 187210347200, 5, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 7, 336, 1, 0, 5636226270, 630218, 0, 0, 74, 1, 0, 5638746980, 0, 0, 0, 630216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785926960, 0, 87366, 837401656, 0, 93086, 810188756, 0, 90061, 795669282, 0, 88448, 802785048, 0, 89238, 789450864, 0, 91445, 814803704, 0, 90574, 5638746644, 630215, 0, 332, 1, 0, 5636226270, 630218, 70, 1, 5638747182, 0, 0, 630219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785926960, 87366, 837401656, 93086, 810188756, 90061, 795669282, 88448, 802785048, 89238, 789450864, 91445, 814803704, 90574, 5636225784, 630215, 0, 0, 0, 0, 3614846, 1489, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 551457, 630178, 0, 0, 630218, 630218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1541970553, 634654, 8, 40, 61678822126, 25386188, 0, 0, 711826, 365741, 435212, 178516, 121, 145, 59
4959617114, 185352931614, 6, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 1500, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 8, 336, 1, 0, 6374091928, 4267170, 0, 0, 0, 0, 0, 6391159936, 0, 0, 0, 4267168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 890885120, 0, 595513, 946006072, 0, 632357, 914738176, 0, 611456, 898950888, 0, 600903, 908125856, 0, 607036, 894415304, 0, 604283, 920970512, 0, 615622, 6391159936, 4267168, 0, 332, 1, 0, 6371708800, 4265577, 0, 0, 6388770900, 0, 0, 4265578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 890885120, 595513, 945733800, 632175, 914338744, 611189, 898950888, 600903, 907524464, 606634, 894084688, 604062, 920191096, 615101, 6371708136, 4265575, 706826, 286, 8052, 76512, 54080740512, 21885140, 49826, 49826, 1353650, 2856708, 1162, 104, 1387, 3962255034, 1612708, 611, 611, 79720, 7637451, 3163, 2, 37, 282585722, 117057, 35, 35, 1468, 2733081, 1137, 1, 21, 57394714, 23895, 0, 0, 37, 0, 0, 0, 0, 52546848, 21884, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1310390, 2890816, 0, 0, 3055180, 3055180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92464, 37, 226936, 1296804, 119907982510, 48521224, 1159925, 1159925, 3081958, 89072, 4150194, 37154, 29, 1383, 12
1575101418, 190518303504, 7, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 8, 0, 0, 0, 6441984432, 720595, 0, 0, 0, 0, 0, 6444920812, 0, 6, 0, 720601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 899510040, 0, 99990, 956076888, 0, 106278, 925319564, 0, 102859, 908218168, 0, 100958, 918158748, 0, 102063, 903057272, 0, 104885, 931643752, 0, 103562, 6444866812, 720595, 0, 0, 0, 0, 6441984432, 720595, 0, 0, 6444866940, 0, 0, 720597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 899510040, 99990, 956076888, 106278, 925319564, 102859, 908218168, 100958, 918158748, 102063, 903057272, 104885, 931643752, 103562, 6441984432, 720595, 0, 0, 0, 0, 4718504, 1947, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 630291, 720559, 0, 0, 720584, 720584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1977827950, 814123, 7, 36, 71201806218, 29308450, 11, 11, 817967, 350354, 431350, 66612, 116, 143, 22
5599676846, 184216987558, 8, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 1500, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 9, 336, 1, 0, 7172309740, 4800739, 0, 0, 88, 1, 0, 7191512024, 0, 0, 0, 4800737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1002367124, 0, 670034, 1064529664, 0, 711584, 1029348232, 0, 688067, 1011512920, 0, 676145, 1021963976, 0, 683131, 1006293664, 0, 679068, 1036294160, 0, 692710, 7191511936, 4800736, 0, 332, 1, 0, 7168496436, 4798190, 84, 1, 7187688860, 0, 0, 4798189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1002202564, 669924, 1063986616, 711221, 1028728888, 687653, 1011233168, 675958, 1021043936, 682516, 1005648888, 678637, 1035652376, 692281, 7168495688, 4798187, 729392, 295, 8880, 84173, 61395182428, 24844688, 52766, 52766, 1534047, 3587188, 1461, 96, 1286, 4613124368, 1880108, 550, 550, 87529, 8782570, 3641, 2, 36, 316172538, 131096, 19, 19, 1377, 0, 0, 0, 0, 1866744, 759, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1472664, 3239614, 0, 0, 3420908, 3420908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91036, 36, 257846, 1473081, 134104792620, 54262134, 1323947, 1323947, 3444419, 89871, 6423898, 37276, 29, 2141, 12
1764840154, 186442562762, 9, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 1.0, 5, 1, 1, 9, 0, 0, 0, 7245305012, 810454, 0, 0, 0, 0, 0, 7248591828, 0, 5, 0, 810459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1011015460, 0, 112385, 1076092524, 0, 119619, 1040936156, 0, 115711, 1022701264, 0, 113684, 1031877184, 0, 114704, 1015610996, 0, 117958, 1047071428, 0, 116393, 7248546828, 810454, 0, 0, 0, 0, 7245305012, 810454, 0, 0, 7248546956, 0, 0, 810456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1011015460, 112385, 1076092524, 119619, 1040936156, 115711, 1022701264, 113684, 1031877184, 114704, 1015610996, 117958, 1047071428, 116393, 7245305012, 810454, 0, 0, 0, 0, 6084348, 2517, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 708645, 810422, 0, 0, 810442, 810442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2522636498, 1038497, 6, 32, 80724367960, 33231919, 12, 12, 919958, 350482, 431956, 65110, 116, 143, 21
