app_useful_cycles,app_wasted_cycles,index,param_hs_enabled,param_hs_flags,param_jumbo_frames,param_lcores,param_n_rules,param_nb_rgx_desc,param_pattern_db,param_pkt_size,param_pktgen_latency_enabled,param_port_forward_mode,param_port_mp_size,param_port_rx_descriptors,param_port_tx_descriptors,param_rgx_enabled,param_rule_subset_ratio,param_rules_use_content_kw,param_rules_use_pcre_kw,param_target_tp,port0_rx_broadcast_bytes,port0_rx_broadcast_packets,port0_rx_errors,port0_rx_good_bytes,port0_rx_good_packets,port0_rx_mbuf_allocation_errors,port0_rx_missed_errors,port0_rx_multicast_bytes,port0_rx_multicast_packets,port0_rx_out_of_buffer,port0_rx_phy_bytes,port0_rx_phy_crc_errors,port0_rx_phy_discard_packets,port0_rx_phy_in_range_len_errors,port0_rx_phy_packets,port0_rx_phy_symbol_errors,port0_rx_prio0_buf_discard_packets,port0_rx_prio0_cong_discard_packets,port0_rx_prio1_buf_discard_packets,port0_rx_prio1_cong_discard_packets,port0_rx_prio2_buf_discard_packets,port0_rx_prio2_cong_discard_packets,port0_rx_prio3_buf_discard_packets,port0_rx_prio3_cong_discard_packets,port0_rx_prio4_buf_discard_packets,port0_rx_prio4_cong_discard_packets,port0_rx_prio5_buf_discard_packets,port0_rx_prio5_cong_discard_packets,port0_rx_prio6_buf_discard_packets,port0_rx_prio6_cong_discard_packets,port0_rx_prio7_buf_discard_packets,port0_rx_prio7_cong_discard_packets,port0_rx_q0_bytes,port0_rx_q0_errors,port0_rx_q0_packets,port0_rx_q1_bytes,port0_rx_q1_errors,port0_rx_q1_packets,port0_rx_q2_bytes,port0_rx_q2_errors,port0_rx_q2_packets,port0_rx_q3_bytes,port0_rx_q3_errors,port0_rx_q3_packets,port0_rx_q4_bytes,port0_rx_q4_errors,port0_rx_q4_packets,port0_rx_q5_bytes,port0_rx_q5_errors,port0_rx_q5_packets,port0_rx_q6_bytes,port0_rx_q6_errors,port0_rx_q6_packets,port0_rx_unicast_bytes,port0_rx_unicast_packets,port0_rx_wqe_errors,port0_tx_broadcast_bytes,port0_tx_broadcast_packets,port0_tx_errors,port0_tx_good_bytes,port0_tx_good_packets,port0_tx_multicast_bytes,port0_tx_multicast_packets,port0_tx_phy_bytes,port0_tx_phy_discard_packets,port0_tx_phy_errors,port0_tx_phy_packets,port0_tx_pp_clock_queue_errors,port0_tx_pp_jitter,port0_tx_pp_missed_interrupt_errors,port0_tx_pp_rearm_queue_errors,port0_tx_pp_sync_lost,port0_tx_pp_timestamp_future_errors,port0_tx_pp_timestamp_order_errors,port0_tx_pp_timestamp_past_errors,port0_tx_pp_wander,port0_tx_q0_bytes,port0_tx_q0_packets,port0_tx_q1_bytes,port0_tx_q1_packets,port0_tx_q2_bytes,port0_tx_q2_packets,port0_tx_q3_bytes,port0_tx_q3_packets,port0_tx_q4_bytes,port0_tx_q4_packets,port0_tx_q5_bytes,port0_tx_q5_packets,port0_tx_q6_bytes,port0_tx_q6_packets,port0_tx_unicast_bytes,port0_tx_unicast_packets,rgx_bs12_deq_avg_rtt_cycles,rgx_bs12_deq_avg_rtt_us,rgx_bs12_deq_brst_cnt,rgx_bs12_deq_brst_pkts_cnt,rgx_bs12_deq_rtt_ttl_cycles,rgx_bs12_deq_rtt_ttl_us,rgx_bs12_enq_brst_cnt,rgx_bs12_enq_brst_pkts_cnt,rgx_bs12_patterns_matched,rgx_bs16_deq_avg_rtt_cycles,rgx_bs16_deq_avg_rtt_us,rgx_bs16_deq_brst_cnt,rgx_bs16_deq_brst_pkts_cnt,rgx_bs16_deq_rtt_ttl_cycles,rgx_bs16_deq_rtt_ttl_us,rgx_bs16_enq_brst_cnt,rgx_bs16_enq_brst_pkts_cnt,rgx_bs16_patterns_matched,rgx_bs20_deq_avg_rtt_cycles,rgx_bs20_deq_avg_rtt_us,rgx_bs20_deq_brst_cnt,rgx_bs20_deq_brst_pkts_cnt,rgx_bs20_deq_rtt_ttl_cycles,rgx_bs20_deq_rtt_ttl_us,rgx_bs20_enq_brst_cnt,rgx_bs20_enq_brst_pkts_cnt,rgx_bs20_patterns_matched,rgx_bs24_deq_avg_rtt_cycles,rgx_bs24_deq_avg_rtt_us,rgx_bs24_deq_brst_cnt,rgx_bs24_deq_brst_pkts_cnt,rgx_bs24_deq_rtt_ttl_cycles,rgx_bs24_deq_rtt_ttl_us,rgx_bs24_enq_brst_cnt,rgx_bs24_enq_brst_pkts_cnt,rgx_bs24_patterns_matched,rgx_bs28_deq_avg_rtt_cycles,rgx_bs28_deq_avg_rtt_us,rgx_bs28_deq_brst_cnt,rgx_bs28_deq_brst_pkts_cnt,rgx_bs28_deq_rtt_ttl_cycles,rgx_bs28_deq_rtt_ttl_us,rgx_bs28_enq_brst_cnt,rgx_bs28_enq_brst_pkts_cnt,rgx_bs28_patterns_matched,rgx_bs32_deq_avg_rtt_cycles,rgx_bs32_deq_avg_rtt_us,rgx_bs32_deq_brst_cnt,rgx_bs32_deq_brst_pkts_cnt,rgx_bs32_deq_rtt_ttl_cycles,rgx_bs32_deq_rtt_ttl_us,rgx_bs32_enq_brst_cnt,rgx_bs32_enq_brst_pkts_cnt,rgx_bs32_patterns_matched,rgx_bs36_deq_avg_rtt_cycles,rgx_bs36_deq_avg_rtt_us,rgx_bs36_deq_brst_cnt,rgx_bs36_deq_brst_pkts_cnt,rgx_bs36_deq_rtt_ttl_cycles,rgx_bs36_deq_rtt_ttl_us,rgx_bs36_enq_brst_cnt,rgx_bs36_enq_brst_pkts_cnt,rgx_bs36_patterns_matched,rgx_bs40_deq_avg_rtt_cycles,rgx_bs40_deq_avg_rtt_us,rgx_bs40_deq_brst_cnt,rgx_bs40_deq_brst_pkts_cnt,rgx_bs40_deq_rtt_ttl_cycles,rgx_bs40_deq_rtt_ttl_us,rgx_bs40_enq_brst_cnt,rgx_bs40_enq_brst_pkts_cnt,rgx_bs40_patterns_matched,rgx_bs44_deq_avg_rtt_cycles,rgx_bs44_deq_avg_rtt_us,rgx_bs44_deq_brst_cnt,rgx_bs44_deq_brst_pkts_cnt,rgx_bs44_deq_rtt_ttl_cycles,rgx_bs44_deq_rtt_ttl_us,rgx_bs44_enq_brst_cnt,rgx_bs44_enq_brst_pkts_cnt,rgx_bs44_patterns_matched,rgx_bs48_deq_avg_rtt_cycles,rgx_bs48_deq_avg_rtt_us,rgx_bs48_deq_brst_cnt,rgx_bs48_deq_brst_pkts_cnt,rgx_bs48_deq_rtt_ttl_cycles,rgx_bs48_deq_rtt_ttl_us,rgx_bs48_enq_brst_cnt,rgx_bs48_enq_brst_pkts_cnt,rgx_bs48_patterns_matched,rgx_bs4_deq_avg_rtt_cycles,rgx_bs4_deq_avg_rtt_us,rgx_bs4_deq_brst_cnt,rgx_bs4_deq_brst_pkts_cnt,rgx_bs4_deq_rtt_ttl_cycles,rgx_bs4_deq_rtt_ttl_us,rgx_bs4_enq_brst_cnt,rgx_bs4_enq_brst_pkts_cnt,rgx_bs4_patterns_matched,rgx_bs52_deq_avg_rtt_cycles,rgx_bs52_deq_avg_rtt_us,rgx_bs52_deq_brst_cnt,rgx_bs52_deq_brst_pkts_cnt,rgx_bs52_deq_rtt_ttl_cycles,rgx_bs52_deq_rtt_ttl_us,rgx_bs52_enq_brst_cnt,rgx_bs52_enq_brst_pkts_cnt,rgx_bs52_patterns_matched,rgx_bs56_deq_avg_rtt_cycles,rgx_bs56_deq_avg_rtt_us,rgx_bs56_deq_brst_cnt,rgx_bs56_deq_brst_pkts_cnt,rgx_bs56_deq_rtt_ttl_cycles,rgx_bs56_deq_rtt_ttl_us,rgx_bs56_enq_brst_cnt,rgx_bs56_enq_brst_pkts_cnt,rgx_bs56_patterns_matched,rgx_bs60_deq_avg_rtt_cycles,rgx_bs60_deq_avg_rtt_us,rgx_bs60_deq_brst_cnt,rgx_bs60_deq_brst_pkts_cnt,rgx_bs60_deq_rtt_ttl_cycles,rgx_bs60_deq_rtt_ttl_us,rgx_bs60_enq_brst_cnt,rgx_bs60_enq_brst_pkts_cnt,rgx_bs60_patterns_matched,rgx_bs64_deq_avg_rtt_cycles,rgx_bs64_deq_avg_rtt_us,rgx_bs64_deq_brst_cnt,rgx_bs64_deq_brst_pkts_cnt,rgx_bs64_deq_rtt_ttl_cycles,rgx_bs64_deq_rtt_ttl_us,rgx_bs64_enq_brst_cnt,rgx_bs64_enq_brst_pkts_cnt,rgx_bs64_patterns_matched,rgx_bs8_deq_avg_rtt_cycles,rgx_bs8_deq_avg_rtt_us,rgx_bs8_deq_brst_cnt,rgx_bs8_deq_brst_pkts_cnt,rgx_bs8_deq_rtt_ttl_cycles,rgx_bs8_deq_rtt_ttl_us,rgx_bs8_enq_brst_cnt,rgx_bs8_enq_brst_pkts_cnt,rgx_bs8_patterns_matched,tx_p0_b2b_latency_cycles_avg,tx_p0_b2b_latency_cycles_max,tx_p0_b2b_latency_cycles_min,tx_p0_b2b_latency_us_avg,tx_p0_b2b_latency_us_max,tx_p0_b2b_latency_us_min
1040862748, 205688251806, 0, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 5, 0, 0, 0, 4271586072, 481241, 0, 0, 0, 0, 0, 4273511036, 0, 0, 0, 481241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 617350500, 0, 68625, 617278532, 0, 68617, 617350500, 0, 68625, 617278532, 0, 68617, 600599948, 0, 66763, 601038152, 0, 73221, 600689908, 0, 66773, 4273511036, 481241, 0, 0, 0, 0, 4271586072, 481241, 0, 0, 4273511241, 0, 0, 481244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 617350500, 68625, 617278532, 68617, 617350500, 68625, 617278532, 68617, 600599948, 66763, 601038152, 73221, 600689908, 66773, 4271586072, 481241, 2352197, 979, 17, 187, 439861022, 183172, 0, 0, 1007, 417069, 173, 126, 1978, 824963242, 343644, 16, 16, 988, 589812576, 245704, 1, 19, 11206438962, 4668386, 40, 40, 10559, 0, 0, 0, 0, 94024306, 39170, 23, 23, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 128, 0, 0, 29, 29, 0, 0, 0, 0, 0, 380880390, 158635, 66, 66, 679, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 406043, 478737, 0, 0, 478837, 478837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2230, 2230, 0, 136917163, 55824, 33, 192, 26288095408, 10718332, 0, 0, 2641321, 188883, 222037, 117782, 62, 74, 39
2023438272, 201318555168, 1, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 10, 0, 0, 0, 8544981504, 956378, 0, 0, 0, 0, 0, 8548807144, 0, 0, 0, 956380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1234916904, 0, 137274, 1234970880, 0, 137280, 1234952888, 0, 137278, 1234952888, 0, 137278, 1201595720, 0, 133570, 1201933532, 0, 140121, 1201658692, 0, 133577, 8548807016, 956378, 0, 0, 0, 0, 8544981504, 956378, 0, 0, 8548807221, 0, 0, 956381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1234916904, 137274, 1234970880, 137280, 1234952888, 137278, 1234952888, 137278, 1201595720, 133570, 1201933532, 140121, 1201658692, 133577, 8544981504, 956378, 0, 0, 0, 0, 8033410, 3297, 0, 0, 589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 816836, 956267, 0, 0, 956378, 956378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 623859729, 255717, 22, 111, 69248429954, 28384689, 0, 0, 5195964, 233932, 29253367, 107048, 77, 9751, 35
3019518226, 201753637840, 2, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 15, 0, 0, 0, 12809301336, 1430401, 0, 0, 0, 0, 0, 12815023068, 0, 0, 0, 1430403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1851268848, 0, 205788, 1851259852, 0, 205787, 1851313828, 0, 205793, 1851259852, 0, 205787, 1801251088, 0, 200228, 1801543848, 0, 206773, 1801404020, 0, 200245, 12815022940, 1430401, 0, 0, 0, 0, 12809301336, 1430401, 0, 0, 12815023145, 0, 0, 1430404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1851268848, 205788, 1851259852, 205787, 1851313828, 205793, 1851259852, 205787, 1801251088, 200228, 1801543848, 206773, 1801404020, 200245, 12809301336, 1430401, 0, 0, 0, 0, 11852370, 4859, 0, 0, 847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1217911, 1430241, 0, 0, 1430401, 1430401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 743241295, 305297, 32, 160, 118918607240, 48847605, 0, 0, 7729962, 188137, 214504, 112643, 62, 71, 37
4057568280, 199231301246, 3, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 20, 0, 0, 0, 17086143744, 1905818, 0, 0, 0, 0, 0, 17093767272, 0, 0, 0, 1905822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2469482964, 0, 274509, 2469419992, 0, 274502, 2469419992, 0, 274502, 2469330032, 0, 274492, 2402687664, 0, 267084, 2402926520, 0, 273624, 2402876580, 0, 267105, 17093767016, 1905818, 0, 0, 0, 0, 17086143744, 1905818, 0, 0, 17093767221, 0, 0, 1905821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2469482964, 274509, 2469419992, 274502, 2469419992, 274502, 2469330032, 274492, 2402687664, 267084, 2402926520, 273624, 2402876580, 267105, 17086143744, 1905818, 0, 0, 0, 0, 15897958, 6509, 0, 0, 1178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1626796, 1905603, 0, 0, 1905818, 1905818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 837389490, 344567, 43, 215, 180038740438, 74082085, 0, 0, 10270449, 188161, 1217555, 100555, 62, 405, 33
5091385274, 200013200052, 4, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 25, 0, 0, 0, 21356832816, 2380550, 0, 0, 0, 0, 0, 21366355272, 0, 0, 0, 2380554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3086644548, 0, 343113, 3086662540, 0, 343115, 3086689528, 0, 343118, 3086635552, 0, 343112, 3003269620, 0, 333845, 3003418516, 0, 340375, 3003512512, 0, 333872, 21366355016, 2380550, 0, 0, 0, 0, 21356832816, 2380550, 0, 0, 21366355221, 0, 0, 2380553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3086644548, 343113, 3086662540, 343115, 3086689528, 343118, 3086635552, 343112, 3003269620, 333845, 3003418516, 340375, 3003512512, 333872, 21356832816, 2380550, 0, 0, 0, 0, 68522896, 28396, 0, 0, 1685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2037053, 2380240, 0, 0, 2380545, 2380545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 826378933, 340560, 62, 310, 256177469300, 105573632, 5, 5, 12807804, 188612, 1119034, 105474, 62, 373, 35
6110004508, 196633325792, 5, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 30, 0, 0, 0, 25627953694, 2855330, 0, 0, 0, 0, 0, 25639375068, 0, 0, 0, 2855331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3703950068, 0, 411733, 3703986052, 0, 411737, 3703968060, 0, 411735, 3703977056, 0, 411736, 3603905552, 0, 400612, 3603973482, 0, 407133, 3604193424, 0, 400644, 25639374940, 2855329, 0, 0, 0, 0, 25627953694, 2855330, 0, 0, 25639375017, 0, 0, 2855330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3703950068, 411733, 3703986052, 411737, 3703968060, 411735, 3703977056, 411736, 3603905552, 400612, 3603973482, 407133, 3604193424, 400644, 25627953624, 2855329, 0, 0, 0, 0, 84758886, 35188, 0, 0, 1413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2442800, 2855065, 0, 0, 2855330, 2855330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1330129021, 548941, 53, 265, 352484190588, 145469404, 0, 0, 15346651, 188200, 488528, 101638, 62, 162, 33
7124174542, 199469176012, 6, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 35, 0, 0, 0, 29889135504, 3328902, 0, 0, 0, 0, 0, 29902451240, 0, 0, 0, 3328904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4319879200, 0, 480200, 4319789240, 0, 480190, 4319906188, 0, 480203, 4319807232, 0, 480192, 4203084132, 0, 467217, 4203153572, 0, 473635, 4203515940, 0, 467265, 29902451112, 3328902, 0, 0, 0, 0, 29884799432, 3328420, 0, 0, 29898113317, 0, 0, 3328423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4319879200, 480200, 4318358876, 480031, 4319096548, 480113, 4318691728, 480068, 4202400436, 467141, 4202856704, 473602, 4203515940, 467265, 29884799432, 3328420, 0, 0, 0, 0, 405603628, 168783, 0, 0, 2312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2839742, 3327989, 0, 0, 3328420, 3328420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1035788990, 427791, 86, 431, 446425054770, 184378275, 0, 0, 17868345, 188502, 286250, 121292, 62, 95, 40
8198969754, 196325963036, 7, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 40, 0, 0, 0, 34166956824, 3804529, 0, 0, 0, 0, 0, 34182175068, 0, 0, 0, 3804531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4938066328, 0, 548918, 4938174280, 0, 548930, 4938093316, 0, 548921, 4938174280, 0, 548930, 4804673640, 0, 534090, 4804651540, 0, 540600, 4805123440, 0, 534140, 34182174940, 3804529, 0, 0, 0, 0, 34150476152, 3802697, 0, 0, 34165687145, 0, 0, 3802700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4934494916, 548521, 4935007688, 548578, 4935277568, 548608, 4935655400, 548650, 4802334680, 533830, 4802582460, 540370, 4805123440, 534140, 34150476152, 3802697, 0, 0, 0, 0, 469372050, 195317, 0, 0, 2797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3261367, 3802175, 0, 0, 3802697, 3802697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1002967612, 414326, 104, 522, 523549093528, 216278507, 0, 0, 20409102, 189811, 220865, 100133, 63, 73, 33
9381969068, 196779045590, 8, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 45, 0, 0, 0, 38437645968, 4279262, 0, 0, 0, 0, 0, 38454763144, 0, 0, 0, 4279264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5555398836, 0, 617541, 5555317872, 0, 617532, 5555434820, 0, 617545, 5555335864, 0, 617534, 5405264592, 0, 600852, 5405170596, 0, 607355, 5405723388, 0, 600903, 38454763016, 4279262, 0, 0, 0, 0, 38410136200, 4276204, 0, 0, 38427241221, 0, 0, 4276207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5552996904, 617274, 5551287664, 617084, 5550936820, 617045, 5551044772, 617057, 5401198400, 600400, 5401104404, 606903, 5401567236, 600441, 38410136200, 4276204, 0, 0, 0, 0, 10778088, 4408, 0, 0, 770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3712322, 4276059, 0, 0, 4276204, 4276204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4235852370, 1750431, 29, 145, 614198593662, 253812635, 0, 0, 22941778, 190385, 577212, 105469, 63, 192, 35
10501564158, 195115983954, 9, 0, --hs_flag_allowempty, 1, 0-7, 2048, 2048, working_set.rules, 9000, 1, 1, 32767, 16384, 16384, 1, 0.001:0.999, 1, 1, 50, 0, 0, 0, 42684146088, 4751199, 0, 0, 0, 0, 0, 42703151012, 0, 0, 0, 4751201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6169105956, 0, 685761, 6169078968, 0, 685758, 6169204912, 0, 685772, 6169132944, 0, 685764, 6002401080, 0, 667230, 6002263396, 0, 673622, 6002958832, 0, 667292, 42703150884, 4751199, 0, 0, 0, 0, 42643286256, 4746657, 0, 0, 42662273089, 0, 0, 4746660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6166704024, 685494, 6163303536, 685116, 6162053092, 684977, 6161900160, 684960, 5996121872, 666532, 5995993184, 672925, 5997210388, 666653, 42643286256, 4746657, 0, 0, 0, 0, 130716036, 54436, 0, 0, 378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4095565, 4746592, 0, 0, 4746657, 4746657, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10987827512, 4541860, 13, 65, 714208788344, 295220925, 0, 0, 25449996, 196410, 1297191, 108436, 65, 432, 36
